wage,earnwke,uhours,age,educ,female
57.6922,2884.61,50,51,43,0
64.10244444444444,2884.61,45,44,45,1
46.875,1875,40,36,40,0
23.076888888888888,1038.46,45,59,42,0
43.628750000000004,1745.15,40,60,40,0
57.6922,2884.61,50,54,44,0
32.45175,1298.07,40,33,43,1
17.788249999999998,711.53,40,56,43,1
28.666666666666668,1290,45,36,40,0
34.615249999999996,1384.61,40,60,43,0
10,400,40,25,40,1
10.3,412,40,26,39,1
40.85,1634,40,32,40,1
55.769000000000005,2230.76,40,56,41,1
24.519,980.76,40,54,43,1
26.44225,1057.69,40,56,42,0
28.845999999999997,1153.84,40,27,43,1
13.825,553,40,54,43,1
48.07683333333333,2884.61,60,49,44,0
57.6922,2884.61,50,50,43,0
57.69225,2307.69,40,53,43,0
36.0575,1442.3,40,41,44,0
67.3075,2692.3,40,36,44,1
12.5,500,40,51,33,0
10,400,40,34,39,0
11.53825,461.53,40,55,39,1
10.5,420,40,25,39,0
18.75,750,40,40,35,0
16.7,668,40,57,39,0
38.46,1923,50,31,44,0
27.675,1107,40,41,43,1
26.1538,1307.69,50,31,43,0
40.95238095238095,1720,42,42,45,0
10,400,40,27,40,1
8.65,346,40,37,33,0
31.25,1250,40,54,43,1
38.45,1538,40,36,41,1
52.5,2100,40,44,43,1
48.07683333333333,2884.61,60,51,46,0
7.644444444444445,344,45,57,39,1
57.6922,2884.61,50,47,43,1
24.025,961,40,28,44,1
34.615249999999996,1384.61,40,45,43,0
31.25,1250,40,42,42,1
33.333333333333336,1500,45,64,43,1
10,400,40,57,35,0
51.923,2076.92,40,46,43,0
4.32675,173.07,40,43,44,1
